trial,bet,block,sampleFrequency,reportedFrequency,reactionTime,error, errorP, sampleFreqP,reportedFrequencyP,mainFrequency,mainFreqP,cummulativeScore,stimulusDuration,timeBtwTriggerAndStim
33,1,3.0,597.5152825545052,936.7164179104477,9486,-339.2011353559425,-7.783640861679414,74.29766507279692,82.08130593447633,587.3295358348151,74.0,0.0,250,2
33,2,3.0,597.5152825545052,875.820895522388,1003,-278.3056129678828,-6.619923086142923,74.29766507279692,80.91758815893985,587.3295358348151,74.0,0.0,250,2
33,3,3.0,597.5152825545052,1032.2388059701493,801,-434.7235234156441,-9.464751061769627,74.29766507279692,83.76241613456655,587.3295358348151,74.0,0.0,250,2
33,4,3.0,597.5152825545052,823.2835820895522,864,-225.76829953504694,-5.548966116230006,74.29766507279692,79.84663118902692,587.3295358348151,74.0,0.0,250,2
33,5,3.0,597.5152825545052,1001.1940298507462,1244,-403.678747296241,-8.936088900834399,74.29766507279692,83.23375397363132,587.3295358348151,74.0,0.0,250,2
33,6,3.0,597.5152825545052,936.7164179104477,674,-339.2011353559425,-7.783640861679414,74.29766507279692,82.08130593447633,587.3295358348151,74.0,0.0,250,2
34,1,3.0,506.74976849897774,339.7014925373134,2190,167.04827596166433,6.924071611887745,71.44524001042589,64.52116839853815,493.8833012561241,71.0,0.0,250,1
34,2,3.0,506.74976849897774,397.0149253731343,841,109.73484312584344,4.224963354904106,71.44524001042589,67.22027665552179,493.8833012561241,71.0,0.0,250,1
34,3,3.0,506.74976849897774,287.1641791044776,848,219.58558939450012,9.832772714326223,71.44524001042589,61.612467296099666,493.8833012561241,71.0,0.0,250,1
34,4,3.0,506.74976849897774,488.955223880597,820,17.79454461838077,0.6188540198746263,71.44524001042589,70.82638599055127,493.8833012561241,71.0,33.0,250,1
34,5,3.0,506.74976849897774,449.5522388059701,941,57.19752969300765,2.073417063503593,71.44524001042589,69.3718229469223,493.8833012561241,71.0,33.0,250,1
34,6,3.0,506.74976849897774,545.0746268656717,1011,-38.324858366693945,-1.262162880243938,71.44524001042589,72.70740289066983,493.8833012561241,71.0,35.0,250,1
