trial,bet,sampleFrequency,reportedFrequency,reactionTime,cummulativeError, cummulativeErrorP, sampleFreqP,reportedFrequencyP,mainFrequency,mainFreqP,score,stimulusDuration,timeBtwTriggerAndStim
2,1,385.04523193857347,302.6865671641791,10903,82.35866477439436,82.35866477439436,66.69029289514707,62.523853534899246,391.99543598174927,67.0,0.0,250,1
2,2,385.04523193857347,237.01492537313433,11769,148.03030656543913,148.03030656543913,66.69029289514707,58.28969265657466,391.99543598174927,67.0,0.0,250,1
2,3,385.04523193857347,370.74626865671644,17462,14.298963281857027,14.298963281857027,66.69029289514707,66.03514378950494,391.99543598174927,67.0,39.0,250,1
2,4,385.04523193857347,459.1044776119403,19379,-74.05924567336683,-74.05924567336683,66.69029289514707,69.73582774640109,391.99543598174927,67.0,39.0,250,1
2,5,385.04523193857347,555.820895522388,21109,-170.77566358381455,-170.77566358381455,66.69029289514707,73.04539858156468,391.99543598174927,67.0,39.0,250,1
2,6,385.04523193857347,652.5373134328358,23521,-267.4920814942624,-267.4920814942624,66.69029289514707,75.82268251892202,391.99543598174927,67.0,39.0,250,1
3,1,557.7555478690279,477.0149253731343,46882,80.74062249589355,80.74062249589355,73.10555321944852,70.39837060599488,554.3652619537442,73.0,0.0,250,1
3,2,557.7555478690279,399.4029850746268,48575,158.35256279440102,158.35256279440102,73.10555321944852,67.32409909855669,554.3652619537442,73.0,0.0,250,1
3,3,557.7555478690279,572.5373134328358,51024,-14.781765563807994,-14.781765563807994,73.10555321944852,73.55839435107673,554.3652619537442,73.0,39.0,250,1
3,4,557.7555478690279,315.820895522388,53273,241.93465234663984,241.93465234663984,73.10555321944852,63.25923723622747,554.3652619537442,73.0,39.0,250,1
3,5,557.7555478690279,663.2835820895522,55494,-105.52803422052432,-105.52803422052432,73.10555321944852,76.10546750752826,554.3652619537442,73.0,39.0,250,1
3,6,557.7555478690279,232.23880597014926,57739,325.5167418988786,325.5167418988786,73.10555321944852,57.93726643069347,554.3652619537442,73.0,39.0,250,1
4,1,463.0519082963753,449.5522388059701,79247,13.49966949040521,13.49966949040521,69.88404486561639,69.3718229469223,466.1637615180899,70.0,78.0,250,0
4,2,463.0519082963753,338.5074626865671,81098,124.54444560980818,124.54444560980818,69.88404486561639,64.46020939016591,466.1637615180899,70.0,78.0,250,0
4,3,463.0519082963753,541.4925373134329,82735,-78.44062901705757,-78.44062901705757,69.88404486561639,72.59325517720143,466.1637615180899,70.0,78.0,250,0
4,4,463.0519082963753,254.92537313432837,87245,208.12653516204693,208.12653516204693,69.88404486561639,59.55085740630505,466.1637615180899,70.0,78.0,250,0
4,5,463.0519082963753,628.6567164179104,89261,-165.6048081215351,-165.6048081215351,69.88404486561639,75.17722694316777,466.1637615180899,70.0,78.0,250,0
4,6,463.0519082963753,200.0,91524,263.0519082963753,263.0519082963753,69.88404486561639,55.349957715000784,466.1637615180899,70.0,78.0,250,0
5,1,614.3449238071418,603.5820895522388,109442,10.762834254902941,10.762834254902941,74.7785443211486,74.47255767369533,622.2539674441618,75.0,85.0,250,1
5,2,614.3449238071418,504.47761194029846,111094,109.8673118668433,109.8673118668433,74.7785443211486,71.36744066489372,622.2539674441618,75.0,85.0,250,1
5,3,614.3449238071418,709.8507462686566,112411,-95.50582246151487,-95.50582246151487,74.7785443211486,77.28014628780703,622.2539674441618,75.0,85.0,250,1
5,4,614.3449238071418,420.8955223880597,114287,193.44940141908205,193.44940141908205,74.7785443211486,68.23150365829304,622.2539674441618,75.0,85.0,250,1
5,5,614.3449238071418,799.4029850746268,116030,-185.05806126748507,-185.05806126748507,74.7785443211486,79.33703323475089,622.2539674441618,75.0,85.0,250,1
5,6,614.3449238071418,324.17910447761193,117726,290.1658193295298,290.1658193295298,74.7785443211486,63.7114509445115,622.2539674441618,75.0,85.0,250,1
