trial,bet,sampleFrequency,reportedFrequency,reactionTime,error, errorP, sampleFreqP,reportedFrequencyP,mainFrequency,mainFreqP,cummulativeScore,stimulusDuration,timeBtwTriggerAndStim
2,1,637.8071215962398,293.13432835820896,3758,344.6727932380308,13.458699329829663,75.42740019246514,61.96870086263548,622.2539674441618,75.0,0.0,250,2
2,2,637.8071215962398,207.16417910447763,1176,430.64294249176214,19.46814767066685,75.42740019246514,55.95925252179829,622.2539674441618,75.0,0.0,250,2
2,3,637.8071215962398,399.4029850746268,1197,238.40413652161294,8.103301093908453,75.42740019246514,67.32409909855669,622.2539674441618,75.0,0.0,250,2
2,4,637.8071215962398,474.6268656716418,1249,163.180255924598,5.1159172995453694,75.42740019246514,70.31148289291978,622.2539674441618,75.0,0.0,250,2
2,5,637.8071215962398,551.044776119403,1110,86.7623454768368,2.531407849856691,75.42740019246514,72.89599234260845,622.2539674441618,75.0,0.0,250,2
2,6,637.8071215962398,629.8507462686566,2602,7.956375327583146,0.21732249847141388,75.42740019246514,75.21007769399372,622.2539674441618,75.0,47.0,250,2
3,1,453.90641846665477,299.1044776119403,6617,154.80194085471447,7.220944572102657,69.53869638130432,62.31775180920167,466.1637615180899,70.0,0.0,250,1
3,2,453.90641846665477,220.29850746268656,1146,233.6079110039682,12.515222017720404,69.53869638130432,57.023474363583915,466.1637615180899,70.0,0.0,250,1
3,3,453.90641846665477,392.2388059701492,1528,61.66761249650557,2.5279513665772035,69.53869638130432,67.01074501472712,466.1637615180899,70.0,0.0,250,1
3,4,453.90641846665477,482.98507462686564,6812,-29.07865616021087,-1.0750046187145728,69.53869638130432,70.61370100001889,466.1637615180899,70.0,16.0,250,1
3,5,453.90641846665477,582.0895522388059,2064,-128.18313377215117,-4.30615481319852,69.53869638130432,73.84485119450284,466.1637615180899,70.0,16.0,250,1
3,6,453.90641846665477,693.1343283582089,1208,-239.22790989155413,-7.328880991941641,69.53869638130432,76.86757737324596,466.1637615180899,70.0,16.0,250,1
4,1,381.18867872731835,256.1194029850746,3442,125.06927574224375,6.884264637655481,66.51602097850919,59.63175634085371,391.99543598174927,67.0,0.0,250,1
4,2,381.18867872731835,NaN,NaN,NaN,NaN,66.51602097850919,NaN,391.99543598174927,67.0,0,250,1
4,3,381.18867872731835,322.98507462686564,3821,58.20360410045271,2.868453281728244,66.51602097850919,63.647567696780946,391.99543598174927,67.0,0.0,250,1
4,4,381.18867872731835,NaN,NaN,NaN,NaN,66.51602097850919,NaN,391.99543598174927,67.0,0,250,1
4,5,381.18867872731835,598.8059701492537,5816,-217.6172914219353,-7.81899999969614,66.51602097850919,74.33502097820534,391.99543598174927,67.0,0.0,250,1
4,6,381.18867872731835,NaN,NaN,NaN,NaN,66.51602097850919,NaN,391.99543598174927,67.0,0,250,1
5,1,553.0697541330388,377.910447761194,3831,175.15930637184482,6.593004517146658,72.95949508114592,66.36649056399926,554.3652619537442,73.0,0.0,250,1
5,2,553.0697541330388,468.65671641791045,1134,84.41303771512838,2.8671586649388794,72.95949508114592,70.09233641620703,554.3652619537442,73.0,0.0,250,1
5,3,553.0697541330388,295.5223880597015,1479,257.54736607333734,10.850328210683088,72.95949508114592,62.10916687046283,554.3652619537442,73.0,0.0,250,1
5,4,553.0697541330388,555.820895522388,1533,-2.7511413893491863,-0.0859035004187722,72.95949508114592,73.04539858156468,554.3652619537442,73.0,52.0,250,1
5,5,553.0697541330388,639.4029850746268,5252,-86.333230941588,-2.5111683867163195,72.95949508114592,75.47066346786224,554.3652619537442,73.0,52.0,250,1
5,6,553.0697541330388,722.9850746268656,1615,-169.9153204938268,-4.638053006045193,72.95949508114592,77.59754808719111,554.3652619537442,73.0,52.0,250,1
