trial #        run #          Gen. Frequency, Hz    Gen. Frequency, P     Main Frequency, Hz    Main Frequency, P     
1              1              502.73                71.31                 493.88                71.00                 
2              1              821.98                79.82                 830.61                80.00                 
3              1              685.77                76.68                 698.46                77.00                 
4              1              598.55                74.33                 587.33                74.00                 
5              2              692.72                76.86                 698.46                77.00                 
6              2              828.48                79.96                 830.61                80.00                 
7              2              591.58                74.12                 587.33                74.00                 
8              2              483.50                70.63                 493.88                71.00                 
9              3              716.03                77.43                 698.46                77.00                 
10             3              501.59                71.27                 493.88                71.00                 
11             3              839.24                80.18                 830.61                80.00                 
12             3              590.01                74.08                 587.33                74.00                 
13             4              811.28                79.59                 830.61                80.00                 
14             4              501.83                71.28                 493.88                71.00                 
15             4              595.48                74.24                 587.33                74.00                 
16             4              697.54                76.98                 698.46                77.00                 
17             5              590.82                74.10                 587.33                74.00                 
18             5              718.50                77.49                 698.46                77.00                 
19             5              487.91                70.79                 493.88                71.00                 
20             5              846.26                80.32                 830.61                80.00                 
21             6              583.02                73.87                 587.33                74.00                 
22             6              494.31                71.02                 493.88                71.00                 
23             6              845.28                80.30                 830.61                80.00                 
24             6              709.18                77.26                 698.46                77.00                 
25             7              570.97                73.51                 587.33                74.00                 
26             7              713.47                77.37                 698.46                77.00                 
27             7              813.26                79.63                 830.61                80.00                 
28             7              492.21                70.94                 493.88                71.00                 
29             8              507.31                71.46                 493.88                71.00                 
30             8              572.01                73.54                 587.33                74.00                 
31             8              808.72                79.54                 830.61                80.00                 
32             8              683.50                76.63                 698.46                77.00                 
33             9              492.51                70.95                 493.88                71.00                 
34             9              589.95                74.08                 587.33                74.00                 
35             9              824.94                79.88                 830.61                80.00                 
36             9              685.03                76.66                 698.46                77.00                 
37             10             595.34                74.23                 587.33                74.00                 
38             10             828.11                79.95                 830.61                80.00                 
39             10             506.44                71.43                 493.88                71.00                 
40             10             683.10                76.62                 698.46                77.00                 
41             11             717.12                77.46                 698.46                77.00                 
42             11             849.64                80.39                 830.61                80.00                 
43             11             587.67                74.01                 587.33                74.00                 
44             11             486.55                70.74                 493.88                71.00                 
45             12             846.23                80.32                 830.61                80.00                 
46             12             489.99                70.86                 493.88                71.00                 
47             12             574.84                73.63                 587.33                74.00                 
48             12             691.98                76.84                 698.46                77.00                 
--------------------------------------------------------------------------------
